post_id,actor_1,actor_2,relation_type
2091519808525259143,Iran,Turkiye,hostile
2091511994381685126,Iran,Pakistan,neutral-reporting
2091511994381685126,Iran,Saudi Arabia,neutral-reporting
2091511994381685126,Iran,Turkiye,neutral-reporting
2091511994381685126,Iran,United States,neutral-reporting
2091511994381685126,Pakistan,Saudi Arabia,neutral-reporting
2091511994381685126,Pakistan,Turkiye,neutral-reporting
2091511994381685126,Pakistan,United States,neutral-reporting
2091511994381685126,Saudi Arabia,Turkiye,neutral-reporting
2091511994381685126,Saudi Arabia,United States,neutral-reporting
2091511994381685126,Turkiye,United States,neutral-reporting
2091510877426241595,Iran,Saudi Arabia,neutral-reporting
2091509886840356891,Saudi Arabia,Iran,neutral-reporting
2091509886840356891,Turkiye,Iran,neutral-reporting
2091509886840356891,Pakistan,Iran,neutral-reporting
2091509886840356891,Saudi Arabia,Turkiye,neutral-reporting
2091509886840356891,Saudi Arabia,Pakistan,neutral-reporting
2091509886840356891,Turkiye,Pakistan,neutral-reporting
2091507145418166342,Saudi Arabia,Iran,skeptical
2091507145418166342,Turkiye,Iran,skeptical
2091507145418166342,Pakistan,Iran,skeptical
2091507145418166342,Saudi Arabia,Turkiye,skeptical
2091507145418166342,Saudi Arabia,Pakistan,skeptical
2091507145418166342,Turkiye,Pakistan,skeptical
2091506480453460221,Saudi Arabia,Iran,skeptical
2091506480453460221,Pakistan,Iran,skeptical
2091506480453460221,Turkiye,Iran,skeptical
2091506480453460221,Saudi Arabia,Pakistan,skeptical
2091506480453460221,Saudi Arabia,Turkiye,skeptical
2091506480453460221,Pakistan,Turkiye,skeptical
2091506279176876066,Saudi Arabia,United States,hostile
2091506279176876066,Turkiye,United States,hostile
2091506279176876066,Pakistan,United States,hostile
2091506279176876066,Iran,United States,hostile
2091506279176876066,Saudi Arabia,Turkiye,supportive
2091506279176876066,Saudi Arabia,Pakistan,supportive
2091506279176876066,Turkiye,Pakistan,supportive
2091506132783128681,Saudi Arabia,Turkiye,supportive
2091506132783128681,Saudi Arabia,Pakistan,supportive
2091506132783128681,Turkiye,Pakistan,supportive
2091506132783128681,Saudi Arabia,United States,skeptical
2091506132783128681,Turkiye,United States,skeptical
2091506132783128681,Pakistan,United States,skeptical
2091506132783128681,Iran,United States,hostile
2091506034170884280,Saudi Arabia,Turkiye,supportive
2091506034170884280,Saudi Arabia,Pakistan,supportive
2091506034170884280,Turkiye,Pakistan,supportive
2091506034170884280,Saudi Arabia,United States,skeptical
2091506034170884280,Turkiye,United States,skeptical
2091506034170884280,Pakistan,United States,skeptical
2091506034170884280,Iran,United States,hostile
2091505839190184207,Saudi Arabia,Turkiye,supportive
2091505839190184207,Saudi Arabia,Pakistan,supportive
2091505839190184207,Turkiye,Pakistan,supportive
2091505839190184207,Saudi Arabia,United States,skeptical
2091505839190184207,Turkiye,United States,skeptical
2091505839190184207,Pakistan,United States,skeptical
2091505839190184207,Iran,United States,hostile
2091505704569819251,Saudi Arabia,Turkiye,supportive
2091505704569819251,Saudi Arabia,Pakistan,supportive
2091505704569819251,Turkiye,Pakistan,supportive
2091505704569819251,Saudi Arabia,United States,skeptical
2091505704569819251,Turkiye,United States,skeptical
2091505704569819251,Pakistan,United States,skeptical
2091505547107291251,Saudi Arabia,Turkiye,supportive
2091505547107291251,Saudi Arabia,Pakistan,supportive
2091505547107291251,Turkiye,Pakistan,supportive
2091505547107291251,Saudi Arabia,United States,skeptical
2091505547107291251,Turkiye,United States,skeptical
2091505547107291251,Pakistan,United States,skeptical
2091505107238080628,Saudi Arabia,Turkiye,supportive
2091505107238080628,Saudi Arabia,Pakistan,supportive
2091505107238080628,Turkiye,Pakistan,supportive
2091505107238080628,Saudi Arabia,United States,skeptical
2091505107238080628,Turkiye,United States,skeptical
2091505107238080628,Pakistan,United States,skeptical
2091503709872169445,Iran,Pakistan,neutral-reporting
2091503709872169445,Iran,Saudi Arabia,neutral-reporting
2091503709872169445,Iran,Turkiye,neutral-reporting
2091503709872169445,Pakistan,Saudi Arabia,neutral-reporting
2091503709872169445,Pakistan,Turkiye,neutral-reporting
2091503709872169445,Saudi Arabia,Turkiye,neutral-reporting
2091502656175079670,Pakistan,Saudi Arabia,supportive
2091501609364893719,Pakistan,Saudi Arabia,neutral-reporting
2091501609364893719,Pakistan,Turkiye,neutral-reporting
2091501609364893719,Saudi Arabia,Turkiye,neutral-reporting
2091501033092505666,Iran,Pakistan,neutral-reporting
2091501033092505666,Iran,Saudi Arabia,neutral-reporting
2091501033092505666,Iran,Turkiye,neutral-reporting
2091501033092505666,Pakistan,Saudi Arabia,neutral-reporting
2091501033092505666,Pakistan,Turkiye,neutral-reporting
2091501033092505666,Saudi Arabia,Turkiye,neutral-reporting
2091499671068025254,Iran,Pakistan,neutral-reporting
2091499086377562124,Iran,Pakistan,supportive
2091499086377562124,Iran,Saudi Arabia,supportive
2091499086377562124,Iran,Turkiye,supportive
2091499086377562124,Pakistan,Saudi Arabia,supportive
2091499086377562124,Pakistan,Turkiye,supportive
2091499086377562124,Saudi Arabia,Turkiye,supportive
2091498070483800382,Iran,Pakistan,hostile
2091498070483800382,Iran,Saudi Arabia,hostile
2091498070483800382,Iran,Turkiye,hostile
2091498070483800382,Pakistan,Saudi Arabia,neutral-reporting
2091498070483800382,Pakistan,Turkiye,neutral-reporting
2091498070483800382,Saudi Arabia,Turkiye,neutral-reporting
2091497909753888925,Iran,Pakistan,hostile
2091497909753888925,Iran,Saudi Arabia,hostile
2091497909753888925,Iran,Turkiye,hostile
2091497909753888925,Pakistan,Saudi Arabia,neutral-reporting
2091497909753888925,Pakistan,Turkiye,neutral-reporting
2091497909753888925,Saudi Arabia,Turkiye,neutral-reporting
2091495391086948794,Iran,Pakistan,neutral-reporting
2091495391086948794,Iran,Saudi Arabia,neutral-reporting
2091495391086948794,Iran,Turkiye,neutral-reporting
2091495391086948794,Pakistan,Saudi Arabia,neutral-reporting
2091495391086948794,Pakistan,Turkiye,neutral-reporting
2091495391086948794,Saudi Arabia,Turkiye,neutral-reporting
2091494272629420448,Iran,Pakistan,neutral-reporting
2091494272629420448,Iran,Saudi Arabia,neutral-reporting
2091494272629420448,Iran,Turkiye,neutral-reporting
2091494272629420448,Pakistan,Saudi Arabia,neutral-reporting
2091494272629420448,Pakistan,Turkiye,neutral-reporting
2091494272629420448,Saudi Arabia,Turkiye,neutral-reporting
2091494115770855643,Iran,Pakistan,mediating
2091494115770855643,Iran,Saudi Arabia,neutral-reporting
2091494115770855643,Iran,Turkiye,neutral-reporting
2091494115770855643,Iran,United States,neutral-reporting
2091494115770855643,Pakistan,Saudi Arabia,neutral-reporting
2091494115770855643,Pakistan,Turkiye,neutral-reporting
2091494115770855643,Pakistan,United States,mediating
2091494115770855643,Saudi Arabia,Turkiye,neutral-reporting
2091490459667271763,Iran,Pakistan,neutral-reporting
2091490459667271763,Iran,Saudi Arabia,neutral-reporting
2091490459667271763,Iran,Turkiye,neutral-reporting
2091490459667271763,Pakistan,Saudi Arabia,neutral-reporting
2091490459667271763,Pakistan,Turkiye,neutral-reporting
2091490459667271763,Saudi Arabia,Turkiye,neutral-reporting
2091489891297505672,Saudi Arabia,Turkiye,skeptical
2091489269789737454,Iran,Pakistan,neutral-reporting
2091489269789737454,Iran,Saudi Arabia,neutral-reporting
2091489269789737454,Iran,Turkiye,neutral-reporting
2091489269789737454,Pakistan,Saudi Arabia,neutral-reporting
2091489269789737454,Pakistan,Turkiye,neutral-reporting
2091489269789737454,Saudi Arabia,Turkiye,neutral-reporting
2091488788619169930,Pakistan,Saudi Arabia,neutral-reporting
2091488788619169930,Pakistan,Turkiye,neutral-reporting
2091488788619169930,Saudi Arabia,Turkiye,neutral-reporting
2091488439266897989,Iran,Pakistan,neutral-reporting
2091488439266897989,Iran,Saudi Arabia,neutral-reporting
2091488439266897989,Iran,Turkiye,neutral-reporting
2091488439266897989,Pakistan,Saudi Arabia,neutral-reporting
2091488439266897989,Pakistan,Turkiye,neutral-reporting
2091488439266897989,Saudi Arabia,Turkiye,neutral-reporting
2091488185821827409,Pakistan,Saudi Arabia,neutral-reporting
2091488185821827409,Pakistan,Turkiye,neutral-reporting
2091488185821827409,Saudi Arabia,Turkiye,neutral-reporting
2091488011536216484,Pakistan,Saudi Arabia,supportive
2091488011536216484,Pakistan,Turkiye,supportive
2091488011536216484,Saudi Arabia,Turkiye,supportive
2091487897476366826,Iran,Saudi Arabia,hostile
2091487897476366826,Iran,Turkiye,hostile
2091487897476366826,Saudi Arabia,Turkiye,hostile
2091485830850257164,Iran,Saudi Arabia,neutral-reporting
2091485830850257164,Iran,Pakistan,neutral-reporting
2091485830850257164,Iran,Turkiye,neutral-reporting
2091485830850257164,Iran,United States,neutral-reporting
2091485830850257164,Saudi Arabia,Pakistan,neutral-reporting
2091485830850257164,Saudi Arabia,Turkiye,neutral-reporting
2091485830850257164,Saudi Arabia,United States,neutral-reporting
2091485830850257164,Pakistan,Turkiye,neutral-reporting
2091485830850257164,Pakistan,United States,neutral-reporting
2091485830850257164,Turkiye,United States,neutral-reporting
2091484696588775786,Iran,Pakistan,neutral-reporting
2091484696588775786,Iran,Saudi Arabia,neutral-reporting
2091484696588775786,Iran,Turkiye,neutral-reporting
2091484696588775786,Pakistan,Saudi Arabia,neutral-reporting
2091484696588775786,Pakistan,Turkiye,neutral-reporting
2091484696588775786,Saudi Arabia,Turkiye,neutral-reporting
2091481899084677297,Iran,Pakistan,neutral-reporting
2091481899084677297,Iran,Saudi Arabia,neutral-reporting
2091481899084677297,Iran,Turkiye,neutral-reporting
2091481899084677297,Pakistan,Saudi Arabia,neutral-reporting
2091481899084677297,Pakistan,Turkiye,neutral-reporting
2091481899084677297,Saudi Arabia,Turkiye,neutral-reporting
2091481519751659582,Iran,Pakistan,neutral-reporting
2091481519751659582,Iran,Saudi Arabia,neutral-reporting
2091481519751659582,Iran,Turkiye,neutral-reporting
2091481519751659582,Pakistan,Saudi Arabia,neutral-reporting
2091481519751659582,Pakistan,Turkiye,neutral-reporting
2091481519751659582,Saudi Arabia,Turkiye,neutral-reporting
2091462991107772544,Iran,Pakistan,neutral-reporting
2091462991107772544,Iran,Saudi Arabia,neutral-reporting
2091462991107772544,Iran,Turkiye,neutral-reporting
2091462991107772544,Iran,United States,skeptical
2091462991107772544,Pakistan,Saudi Arabia,neutral-reporting
2091462991107772544,Pakistan,Turkiye,neutral-reporting
2091462991107772544,Pakistan,United States,skeptical
2091462991107772544,Saudi Arabia,Turkiye,neutral-reporting
2091462991107772544,Saudi Arabia,United States,skeptical
2091462991107772544,Turkiye,United States,skeptical
2091438216259760411,Iran,Pakistan,neutral-reporting
2091438216259760411,Iran,Saudi Arabia,neutral-reporting
2091438216259760411,Iran,Turkiye,neutral-reporting
2091438216259760411,Pakistan,Saudi Arabia,neutral-reporting
2091438216259760411,Pakistan,Turkiye,neutral-reporting
2091438216259760411,Saudi Arabia,Turkiye,neutral-reporting
2091398068461543853,Iran,Pakistan,neutral-reporting
2091398068461543853,Iran,Saudi Arabia,neutral-reporting
2091398068461543853,Iran,Turkiye,neutral-reporting
2091398068461543853,Iran,United States,neutral-reporting
2091398068461543853,Pakistan,Saudi Arabia,neutral-reporting
2091398068461543853,Pakistan,Turkiye,neutral-reporting
2091398068461543853,Pakistan,United States,neutral-reporting
2091398068461543853,Saudi Arabia,Turkiye,neutral-reporting
2091398068461543853,Saudi Arabia,United States,neutral-reporting
2091398068461543853,Turkiye,United States,neutral-reporting
2091387312793964699,Saudi Arabia,United States,neutral-reporting
2091387312793964699,Turkiye,United States,neutral-reporting
2091387312793964699,Pakistan,United States,neutral-reporting
2091345894524252165,Saudi Arabia,United States,neutral-reporting
2091345894524252165,Turkiye,United States,neutral-reporting
2091345894524252165,Pakistan,United States,neutral-reporting
2091284982782144803,Pakistan,Saudi Arabia,neutral-reporting
2091284982782144803,Pakistan,Turkiye,neutral-reporting
2091284982782144803,Saudi Arabia,Turkiye,neutral-reporting
2091279671388250200,Pakistan,Saudi Arabia,skeptical
2091272313110978986,Pakistan,Turkiye,supportive
2091272288653971818,Pakistan,Turkiye,supportive
2091260463040618555,Pakistan,Saudi Arabia,neutral-reporting
2091260463040618555,Pakistan,Turkiye,neutral-reporting
2091260463040618555,Saudi Arabia,Turkiye,neutral-reporting
2091246715911258608,Pakistan,Saudi Arabia,neutral-reporting
2091246715911258608,Pakistan,Turkiye,neutral-reporting
2091246715911258608,Saudi Arabia,Turkiye,neutral-reporting
