hashtag_1,hashtag_2,count
#Pakistan,#SaudiArabia,87
#Pakistan,#Turkey,46
#SaudiArabia,#Turkey,39
#Geopolitics,#Pakistan,28
#Iran,#Pakistan,25
#MeccaPact,#Pakistan,25
#MiddleEast,#Pakistan,24
#Geopolitics,#SaudiArabia,23
#MiddleEast,#SaudiArabia,23
#Pakistan,#Turkiye,22
#Geopolitics,#MiddleEast,22
#MeccaPact,#SaudiArabia,21
#SaudiArabia,#Turkiye,21
#Pakistan,#Türkiye,20
#Iran,#SaudiArabia,17
#Geopolitics,#Turkey,16
#Geopolitics,#MeccaPact,16
#MakkahPact,#Pakistan,15
#Houthis,#SaudiArabia,14
#India,#Pakistan,14
#MakkahPact,#SaudiArabia,13
#SaudiArabia,#Yemen,13
#Iran,#MiddleEast,13
#SaudiArabia,#Türkiye,13
#MiddleEast,#Turkey,12
#India,#SaudiArabia,12
#Houthis,#Pakistan,12
#Pakistan,#Yemen,12
#MeccaPact,#Turkey,12
#Geopolitics,#Iran,11
#Pakistan,#Trump,11
#SaudiArabia,#Trump,10
#Israel,#Pakistan,10
#RegionalSecurity,#SaudiArabia,10
#Geopolitics,#India,9
#Pakistan,#RegionalSecurity,9
#MeccaAgreement,#Turkey,9
#MeccaAgreement,#SaudiArabia,9
#MeccaAgreement,#Pakistan,9
#Houthis,#MiddleEast,9
#Houthis,#MeccaPact,9
#Israel,#Turkey,9
#Iran,#Turkey,8
#Mecca,#Pakistan,8
#Pakistan,#USA,8
#Pakistan,#Saudi,8
#MakkahDefencePact,#Pakistan,8
#Iran,#MeccaPact,8
#IranWar,#IranWar‌,8
#Houthis,#Yemen,7
#MiddleEast,#Yemen,7
#Iran,#US,7
#Geopolitics,#RegionalSecurity,7
#RegionalSecurity,#Turkey,7
#NATO,#Turkey,7
#India,#Turkey,7
#MeccaPact,#MiddleEast,7
#Bangladesh,#Pakistan,7
#India,#Turkiye,7
#MakkahDefencePact,#SaudiArabia,7
#Pakistan,#ShehbazSharif,6
#SaudiArabia,#ShehbazSharif,6
#MiddleEast,#RegionalSecurity,6
#Israel,#UAE,6
#Geopolitics,#Israel,6
#SaudiArabia,#USA,6
#Iran,#Israel,6
#MeccaAgreement,#MiddleEast,6
#BreakingNews,#Pakistan,6
#MakkahPact,#Turkiye,6
#MeccaPact,#Yemen,6
#India,#MiddleEast,6
#Geopolitics,#MakkahPact,6
#NATO,#Pakistan,6
#Geopolitics,#MeccaAgreement,5
#Defence,#Pakistan,5
#Iran,#Mecca,5
