hashtag,raw_count,deduplicated_count
#Pakistan,116,112
#SaudiArabia,69,68
#Turkey,50,48
#Geopolitics,45,45
#MeccaPact,42,42
#Iran,43,40
#MiddleEast,23,23
#Israel,21,21
#Türkiye,21,20
#India,19,19
#MakkahPact,18,17
#Mecca,16,16
#Turkiye,16,16
#USA,15,15
#RegionalSecurity,14,14
#Trump,14,14
#MakkahDefencePact,11,11
#MeccaAgreement,11,11
#IranWar,11,11
#NATO,10,10
#Bangladesh,10,10
#US,9,9
#Egypt,9,9
#MiddleEastSecurity,9,9
#Syria,8,8
#UAE,7,7
#WestAsia,6,6
#Defence,6,6
#IranWar‌,5,5
#SouthAsia,4,4
#DonaldTrump,4,4
#Diplomacy,4,4
#Erdogan,4,4
#Greece,4,4
#ShehbazSharif,4,4
#MakkahDefenceAgreement,4,4
#Saudi_Arabia,4,4
#MeccaDefencePact,4,4
#DefencePact,4,4
#PakistanSaudiArabia,4,4
#Makkah,4,4
#BRICS,4,4
#Au79Macro,4,4
#Hormuz,4,4
#China,4,4
#Manufacturing,3,3
#SpatialRisk,3,3
#Asiaone,3,3
#Gulf,3,3
#Trade,3,3
#TextileIndustry,3,3
#Energy,3,3
#PTC,3,3
#StraitOfHormuz,3,3
#PakistanTextileCouncil,3,3
#EconomicUpdate,3,3
#geopolitics,3,3
#Defense,3,3
#Yemen,3,3
#BreakingNews,3,3
#saudiarabia,3,3
#OilAndGas,3,3
#PakistanEconomy,3,3
#BusinessNews,3,3
#Exports,3,3
#MakkahAgreement,3,3
#DefensePact,3,3
#PowerSector,3,3
#Saudi,3,3
#GlobalTrade,3,3
#IslamicNATO,3,3
#TurkeyPakistan,3,3
#CollectiveDefense,3,3
#MorningNews,3,3
#Asiaonenews,3,3
#LondonVarta,2,2
#Jihadism,2,2
#AbrahamAccords,2,2
#TurkeyPakistanSaudi,2,2
#OSINT,2,2
#turkiye,2,2
#Palestine,2,2
#Meccaagreement,2,2
#Iranian,2,2
#MeccaDefensePact,2,2
#News,2,2
#RadioPakistan,2,2
#AyeshaSiddiqa,2,2
#Iraq,2,2
#PeaceTreaty,2,2
#Globalnewspakistan,2,2
#Netanyahu,2,2
#TVOneUSA,2,2
#IndiaSecurity,2,2
#NationalSecurity,2,2
#TheTribuneOpinion,2,2
#MuslimNATO,2,2
#MakkahJointDefenceAgreement,2,2
#Express247,2,2
#AmericaFirst,2,2
#panIslamism,2,2
#Islamism,2,2
#TheNews,2,2
#DarkBox,2,2
#StrategicAutonomy,2,2
#AbuDhabi,2,2
#Oil,2,2
#BREAKING,4,2
#Caliber,2,2
#türkiye,2,2
#defence,2,2
#Riyadh,2,2
#Ankara,2,2
#SupplyChain,2,2
#Inflation,2,2
#KSA,3,2
#Macroeconomics,2,2
#Islamabad,2,2
#IslamicNato,2,2
#Middleeasteye,2,2
#Gaza,2,2
#pact,2,2
#ForeignPolicy,2,2
#PakistanNews,2,2
#Cyprus,2,2
#DefenseTech,2,2
#MacroRisk,2,2
#GlobalPolitics,2,2
#PakistanTV,2,2
#يوم_الجمعه,1,1
#azk,1,1
#Armenia,1,1
#MilitaryCooperation,1,1
#DefenceAnalysis,1,1
#MiddleEastDefense,1,1
#GlobalDiplomacy,1,1
#SouthAsiaSecurity,1,1
#StrategicAlliance,1,1
#USmilitary,3,1
#UN,3,1
#Security,1,1
#MeccaDefenceAgreement,1,1
#Somaliland,1,1
#StrafAsia,1,1
#jointpact,1,1
#pakistan,1,1
#CollectiveDefence,1,1
#StratOptic,1,1
#EastMed,1,1
#TurkicCentury,1,1
#Mecca_pact,1,1
#IndianOcean,1,1
#جشن_آزادی_مبارک,1,1
#WorldView,1,1
#NeverForget,1,1
#StopJewHate,1,1
#TruthMatters,1,1
#FightAntisemitism,1,1
#BringThemHomeNow,1,1
#4,1,1
#StrategicAffairs,1,1
#USArmy,1,1
#YieldCurveControl,1,1
#FixedIncome,1,1
#Liquidity,1,1
#WealthPreservation,1,1
#EurasianAxis,1,1
#Russia,1,1
#NewWorldOrder,1,1
#GreatTuran,1,1
#StrategicIntelligence,1,1
#Commodities,1,1
#MaritimeSecurity,1,1
#FiscalDominance,1,1
#SovereignWealth,1,1
#Russell2000,1,1
#SmartMoney,1,1
#CapitalAllocation,1,1
#StealthDrones,1,1
#WashingtonEye,1,1
#india,1,1
#pak,1,1
#westasia,1,1
#Interpreter,1,1
#opsindoor,1,1
#Escalation,1,1
#RedSea,1,1
#MakkahMutualDefenceAgreement,1,1
#MeccaDefenseAgreement,1,1
#EmptyPromise,1,1
#RegionalAlliance,1,1
#AerospaceThreat,1,1
#IndiaDefence,1,1
#OperationSindoor,1,1
#Dar,1,1
#R4Meeting,1,1
#Fidan,1,1
#Istanbul,1,1
#UPDATE,1,1
#DW,1,1
#donaldtrump,1,1
#youthpakistan,1,1
#Zionist,1,1
#Islam,1,1
#Jerusalem,1,1
#Defencepact,1,1
#Ummah,1,1
#Muslim,1,1
#turkeypact,1,1
#Israil,1,1
#Palastine,1,1
#Alquds,1,1
#Gluf,1,1
#Pakistanpact,1,1
