id,matched_actor,text,username,timestamp,likes,retweets,hashtags,word_count,long_form,duplicate_content_cluster_id,detected_language,flagged_content,flagged_reason,confirmed_flag,topic_relevant,relations_checked,relations_recheck_done,clean_text,clean_text_lemmatized,long_form_excerpt,hashtags_extracted,actor_match_diff,actor_match_verified,actors_mentioned,sentiment_score,sentiment_label
2098137405115244810,"Pakistan, Saudi Arabia, Turkiye","Strategic alliances are instruments of deterrence, not mechanisms for automatic escalation.
Taking a nation to war against a nuclear-armed state on the basis of an act by a non-state actor, without credible attribution, state responsibility and clear evidence, would be strategically reckless. Terrorism can involve proxies, third parties or even false flag operations; therefore, attribution must precede escalation.
The Makkah Pact should similarly be understood in its proper strategic context: collective deterrence against a structured state threat to the sovereignty, territorial integrity or vital security interests of a member, not automatic mobilization of the entire alliance after every action by  Houthis or any other non-state actor.
Saudi Arabia possesses substantial national military capability to address such threats. Invoking the entire alliance prematurely would dilute rather than strengthen its credibility.
A serious alliance must distinguish between terrorism, proxy action and direct state aggression.
Credible deterrence requires capability. Strategic deterrence requires judgment.

#MakkahPact #SaudiArabia #Pakistan #Türkiye #RegionalSecurity #India #StrategicDeterrence #MiddleEast #CollectiveSecurity
@CaitlinDoornbos @MarioNawfal @abdulslam2017 @Fereeha @idclrWorldPeace",zahidm63,2026-09-10 19:51:53+0000,1,0,"#CollectiveSecurity, #India, #MakkahPact, #MiddleEast, #Pakistan, #RegionalSecurity, #SaudiArabia, #StrategicDeterrence, #Türkiye",164,False,,en,False,,,True,True,,"strategic alliances are instruments of deterrence, not mechanisms for automatic escalation. taking a nation to war against a nuclear-armed state on the basis of an act by a non-state actor, without credible attribution, state responsibility and clear evidence, would be strategically reckless. terrorism can involve proxies, third parties or even false flag operations; therefore, attribution must precede escalation. the makkah pact should similarly be understood in its proper strategic context: collective deterrence against a structured state threat to the sovereignty, territorial integrity or vital security interests of a member, not automatic mobilization of the entire alliance after every action by houthis or any other non-state actor. saudi arabia possesses substantial national military capability to address such threats. invoking the entire alliance prematurely would dilute rather than strengthen its credibility. a serious alliance must distinguish between terrorism, proxy action and direct state aggression. credible deterrence requires capability. strategic deterrence requires judgment. makkahpact saudiarabia pakistan türkiye regionalsecurity india strategicdeterrence middleeast collectivesecurity",strategic alliance instrument deterrence mechanism automatic escalation taking nation war state basis act actor without credible attribution state responsibility clear evidence would strategically reckless terrorism involve proxy third party even false flag operation therefore attribution must precede escalation makkah pact similarly understood proper strategic context collective deterrence structured state threat sovereignty territorial integrity vital security interest member automatic mobilization entire alliance every action houthis actor saudi arabia possesses substantial national military capability address threat invoking entire alliance prematurely would dilute rather strengthen credibility serious alliance must distinguish terrorism proxy action direct state aggression credible deterrence requires capability strategic deterrence requires judgment makkahpact saudiarabia pakistan türkiye regionalsecurity india strategicdeterrence middleeast collectivesecurity,,"['#CollectiveSecurity', '#India', '#MakkahPact', '#MiddleEast', '#Pakistan', '#RegionalSecurity', '#SaudiArabia', '#StrategicDeterrence', '#Türkiye']",,True,"['Pakistan', 'Saudi Arabia', 'Turkiye']",,
2098135254443884801,Pakistan,"Pakistani guarantees are as strong as paper in rain 😂😂

Father finding quam is running away from fighting, I mean this Army comes second even when they’re the only runner…how could anyone expect them to fight?

Mecca pact ka pudina bana diya Riyasat-E-Pudina ne 😬😂😂",Shivam_h9,2026-09-10 19:43:20+0000,0,0,,45,False,,en,False,,,True,True,,"pakistani guarantees are as strong as paper in rain 😂😂 father finding quam is running away from fighting, i mean this army comes second even when they’re the only runner…how could anyone expect them to fight? mecca pact ka pudina bana diya riyasat-e-pudina ne 😬😂😂",pakistani guarantee strong paper rain father finding quam running away fighting mean army come second even could anyone expect fight mecca pact ka pudina bana diya ne,,[],,True,['Pakistan'],,
2098135214790717845,"Iran, Pakistan, Saudi Arabia","Houthi - Iran - Mecca pact Pakistan / Saudi Arabia

https://t.co/XuoiqwWVGw
+",LaurentDavidoff,2026-09-10 19:43:11+0000,0,0,,12,False,,en,False,,,True,True,,houthi - iran - mecca pact pakistan / saudi arabia +,houthi iran mecca pact pakistan saudi arabia,,[],,True,"['Iran', 'Pakistan', 'Saudi Arabia']",,
2098134869016711395,Pakistan,"We give a shit to Mecca pact, we are only loving Pakistan getting raped in broad daylight and entire world is having fun while watching it happening.
I am amazed that why your aand forces are holding you back from running a propaganda on social media that they have wiped out Houthis, you are only allowed to upload old videos of fighter jets taxying around?",rrajattsharma,2026-09-10 19:41:48+0000,0,0,,65,False,,en,True,profanity,,True,True,,"we give a shit to mecca pact, we are only loving pakistan getting raped in broad daylight and entire world is having fun while watching it happening. i am amazed that why your aand forces are holding you back from running a propaganda on social media that they have wiped out houthis, you are only allowed to upload old videos of fighter jets taxying around?",give shit mecca pact loving pakistan getting raped broad daylight entire world fun watching happening amazed aand force holding back running propaganda social medium wiped houthis allowed upload old video fighter jet taxying around,,[],,True,['Pakistan'],,
2098133992851845244,"Pakistan, Saudi Arabia","Right now Pakistan is screwed, the entire world is laughing at you guys and shitty Mecca pact, Pakistani aand forces are good for nothing amd can't do a shit, your only achievement is that you could make fool of Saudi Arabia and took money in the name of this freaking pact, I considered MBS a smart and rationale person.
Let Pakistani aand forces dare to hit Houthis and they will beat the shit out of them.",rrajattsharma,2026-09-10 19:38:19+0000,0,0,,76,False,,en,True,profanity,,True,True,,"right now pakistan is screwed, the entire world is laughing at you guys and shitty mecca pact, pakistani aand forces are good for nothing amd can't do a shit, your only achievement is that you could make fool of saudi arabia and took money in the name of this freaking pact, i considered mbs a smart and rationale person. let pakistani aand forces dare to hit houthis and they will beat the shit out of them.",right pakistan screwed entire world laughing guy shitty mecca pact pakistani aand force good nothing amd ca shit achievement could make fool saudi arabia took money name freaking pact considered mb smart rationale person let pakistani aand force dare hit houthis beat shit,,[],,True,"['Pakistan', 'Saudi Arabia']",,
2098133233913491502,"Iran, Pakistan, Saudi Arabia","🇵🇰🇸🇦🇾🇪 IMPORTANT UPDATE

Pakistan appears unwilling to commit to military action in support of Saudi Arabia.

Despite the new Mecca defense pact, Islamabad says no military response has been discussed so far.

The Houthis have continued striking Saudi cities and energy facilities, while Pakistan says it will act “when the time comes.”

For now, Pakistan’s response remains limited to condemnation and calls on Iran to control its allies.

Source: Reuters | Writer: Samuel",GlobNow34163,2026-09-10 19:35:19+0000,1,0,,73,False,,en,False,,,True,True,,"🇵🇰🇸🇦🇾🇪 important update pakistan appears unwilling to commit to military action in support of saudi arabia. despite the new mecca defense pact, islamabad says no military response has been discussed so far. the houthis have continued striking saudi cities and energy facilities, while pakistan says it will act “when the time comes.” for now, pakistan’s response remains limited to condemnation and calls on iran to control its allies. source: reuters | writer: samuel",important update pakistan appears unwilling commit military action support saudi arabia despite new mecca defense pact islamabad say military response discussed far houthis continued striking saudi city energy facility pakistan say act time pakistan response remains limited condemnation call iran control ally source reuters writer samuel,,[],,True,"['Iran', 'Pakistan', 'Saudi Arabia']",,
2098132571280593175,"Pakistan, Saudi Arabia","Pakistan says no military response discussed under Mecca pact over Houthi attacks on Saudi Arabia

Pakistan says the Mecca Pact of mutual defense “doesn’t cover a pre-existing condition,” so it only covers wars started after the pact was signed. It also covers only state actors, not non-state actors (and perhaps preferably those within reach of Pakistani power projection)

Saudis should consider Pakistani Army for housing projects. They build nice DHAs
 https://t.co/JL7lQ4eRKt",MofaYasir,2026-09-10 19:32:41+0000,0,0,,71,False,,en,False,,,True,True,,"pakistan says no military response discussed under mecca pact over houthi attacks on saudi arabia pakistan says the mecca pact of mutual defense “doesn’t cover a pre-existing condition,” so it only covers wars started after the pact was signed. it also covers only state actors, not non-state actors (and perhaps preferably those within reach of pakistani power projection) saudis should consider pakistani army for housing projects. they build nice dhas",pakistan say military response discussed mecca pact houthi attack saudi arabia pakistan say mecca pact mutual defense cover condition cover war started pact signed also cover state actor actor perhaps preferably within reach pakistani power projection saudi consider pakistani army housing project build nice dhas,,[],,True,"['Pakistan', 'Saudi Arabia']",,
2098132369350029423,"Iran, Pakistan, Saudi Arabia, Turkiye","IMPORTANT UPDATE | 🇵🇰🇸🇦🇾🇪

Pakistan just backed away from a military call-up for Saudi Arabia:

Islamabad said there have been no talks about a response under the new Mecca defense pact, the deal that treats an attack on Saudi Arabia, Turkey, or Pakistan as an attack on all three.

The Houthis have been hitting Saudi cities and energy sites all week.

The Pakistani Foreign Ministry still says it will act “when the time comes.”

Pakistan has condemned the attacks and told Iran to control its allies. But that’s as far as it has gone...

Source: Reuters | Writer: Samuel",burhan_uddin_0,2026-09-10 19:31:52+0000,5,0,,99,False,,en,False,,,True,True,,"important update | 🇵🇰🇸🇦🇾🇪 pakistan just backed away from a military call-up for saudi arabia: islamabad said there have been no talks about a response under the new mecca defense pact, the deal that treats an attack on saudi arabia, turkey, or pakistan as an attack on all three. the houthis have been hitting saudi cities and energy sites all week. the pakistani foreign ministry still says it will act “when the time comes.” pakistan has condemned the attacks and told iran to control its allies. but that’s as far as it has gone... source: reuters | writer: samuel",important update pakistan backed away military saudi arabia islamabad said talk response new mecca defense pact deal treat attack saudi arabia turkey pakistan attack three houthis hitting saudi city energy site week pakistani foreign ministry still say act time pakistan condemned attack told iran control ally far gone source reuters writer samuel,,[],,True,"['Iran', 'Pakistan', 'Saudi Arabia', 'Turkiye']",,
2098131359147724956,Iran,"@RShivshankar MBS isn't coming for below reasons
1. Houthis challenge/oil sale all time low
2. Not in good terms with UAE &amp; Iran. Wud not like to face off
3. Recently signed mecca pact seem as anti india
4. BRICS seen as anti US. KSA as of now needs 8b loan where only US can help.",Vinayarien,2026-09-10 19:27:52+0000,0,0,,56,False,,en,False,,,True,True,,mbs isn't coming for below reasons 1. houthis challenge/oil sale all time low 2. not in good terms with uae &amp; iran. wud not like to face off 3. recently signed mecca pact seem as anti india 4. brics seen as anti us. ksa as of now needs 8b loan where only us can help.,mb coming reason houthis sale time low good term uae amp iran wud like face recently signed mecca pact seem anti india brics seen anti us ksa need loan us help,,[],,True,['Iran'],,
2098130842505887752,"Pakistan, Saudi Arabia","Pakistan signed a ""attack on one is attack on all"" pact in August.

Houthis hit Saudi cities and energy sites this week.

Pakistan today: No military response is under discussion. We’ll act when the time comes.

Now I’m sure the Mecca Pact was just delay tactics and a bailout for Pakistan back then. The time, it seems, is never.",omiverseglobal,2026-09-10 19:25:48+0000,0,0,,59,False,,en,False,,,True,True,,"pakistan signed a ""attack on one is attack on all"" pact in august. houthis hit saudi cities and energy sites this week. pakistan today: no military response is under discussion. we’ll act when the time comes. now i’m sure the mecca pact was just delay tactics and a bailout for pakistan back then. the time, it seems, is never.",pakistan signed attack one attack pact august houthis hit saudi city energy site week pakistan today military response discussion act time come sure mecca pact delay tactic bailout pakistan back time seems never,,[],,True,"['Pakistan', 'Saudi Arabia']",,
